WE(1).Potential (V),Time (s),WE(1).Current (A)
-0.000143432617187494,0.350853999114179,-3.17382812500003E-07
-0.0001220703125,0.360853999088931,-3.72314453124994E-07
-0.000119018554687503,0.370853999063684,-3.509521484375E-07
-0.0001373291015625,0.380853999038436,-3.47900390625003E-07
-0.0001220703125,0.390853999013189,-3.662109375E-07
-0.000134277343750003,0.400853998987941,-3.204345703125E-07
-0.000125122070312497,0.410853998962693,-3.51562499999999E-07
-0.000134277343750003,0.420853998937446,-3.62243652343749E-07
-0.000112915039062494,0.430853998912198,-3.277587890625E-07
-0.000131225585937506,0.440853998886951,-3.46984863281249E-07
-0.000131225585937506,0.450853998861703,-2.3223876953125E-07
-0.000112915039062494,0.460853998836456,-2.4871826171875E-07
-0.000115966796875006,0.470853998811208,-2.42919921875E-07
-0.000112915039062494,0.48085399878596,-2.2247314453125E-07
-0.0001220703125,0.490853998760713,-2.5665283203125E-07
-0.0001068115234375,0.500853998735465,-2.3431396484375E-07
-0.000119018554687503,0.510853998710218,-2.3590087890625E-07
-0.000115966796875006,0.52085399868497,-2.36572265625E-07
-0.000125122070312497,0.530853998659722,-2.18505859375E-07
-0.000112915039062494,0.540853998634475,-2.264404296875E-07
-0.000125122070312497,0.550853998609227,-2.056884765625E-07
-0.000115966796875006,0.56085399858398,-2.1514892578125E-07
-0.0001068115234375,0.570853998558732,-2.2857666015625E-07
-0.000103759765625003,0.580853998533485,-2.0111083984375E-07
-0.000103759765625003,0.590853998508237,-2.3101806640625E-07
-0.000119018554687503,0.600853998482989,-1.93359375E-07
-0.000115966796875006,0.610853998457742,-2.069091796875E-07
-0.000112915039062494,0.620853998432494,-2.1820068359375E-07
-0.000125122070312497,0.630853998407247,-1.94671630859375E-07
-0.0001220703125,0.640853998381999,-2.0709228515625E-07
-0.000115966796875006,0.650853998356752,-1.96685791015625E-07
-0.000134277343750003,0.660853998331504,-2.0721435546875E-07
-0.000131225585937506,0.670853998306256,-2.1453857421875E-07
-0.000140380859374997,0.680853998281009,-1.8096923828125E-07
-0.000112915039062494,0.690853998255761,-2.008056640625E-07
-0.000146484375000006,0.700853998230514,-1.7852783203125E-07
-0.0001220703125,0.710853998205266,-1.959228515625E-07
-0.000128173828124994,0.720853998180019,-1.9696044921875E-07
-0.000143432617187494,0.730853998154771,-1.7205810546875E-07
-0.000128173828124994,0.740853998129523,-1.9989013671875E-07
-0.000125122070312497,0.750853998104276,-1.8109130859375E-07
-0.0001220703125,0.760853998079028,-1.837158203125E-07
-0.0001068115234375,0.770853998053781,-1.8701171875E-07
-0.000134277343750003,0.780853998028533,-1.751708984375E-07
-0.000158691406249994,0.790853998003286,-2.0355224609375E-07
-0.000115966796875006,0.800853997978038,-1.73980712890625E-07
-0.000152587890625,0.81085399795279,-1.824951171875E-07
-0.000134277343750003,0.820853997927543,-1.81884765625E-07
-0.0001373291015625,0.830853997902295,-1.6632080078125E-07
-0.000103759765625003,0.840853997877048,-2.032470703125E-07
-0.000119018554687503,0.8508539978518,-1.61895751953125E-07
-0.0001220703125,0.860853997826553,-1.69403076171875E-07
-9.46044921874972E-05,0.870853997801305,-1.9439697265625E-07
-0.000125122070312497,0.880853997776057,-1.605224609375E-07
-0.0001373291015625,0.89085399775081,-1.8707275390625E-07
-0.000143432617187494,0.900853997725562,-1.5771484375E-07
-0.0001068115234375,0.910853997700315,-1.73797607421875E-07
-0.000103759765625003,0.920853997675067,-1.7791748046875E-07
-0.0001373291015625,0.93085399764982,-1.47705078125E-07
-0.000134277343750003,0.940853997624572,-1.7486572265625E-07
-0.000131225585937506,0.950853997599324,-1.5045166015625E-07
-0.000125122070312497,0.960853997574077,-1.7083740234375E-07
-0.0001373291015625,0.970853997548829,-1.62261962890625E-07
-0.000112915039062494,0.980853997523582,-1.4892578125E-07
-0.000128173828124994,0.990853997498334,-1.7120361328125E-07
-0.000112915039062494,1.00085399747309,-1.5380859375E-07
-0.000131225585937506,1.01085399744784,-1.60491943359375E-07
-0.000125122070312497,1.02085399742259,-1.69891357421875E-07
-0.000112915039062494,1.03085399739734,-1.5380859375E-07
-0.000131225585937506,1.0408539973721,-1.903076171875E-07
-0.000103759765625003,1.05085399734685,-1.5045166015625E-07
-0.000131225585937506,1.0608539973216,-1.48193359375E-07
-0.000140380859374997,1.07085399729635,-1.605224609375E-07
-0.0001373291015625,1.08085399727111,-1.4556884765625E-07
-0.000112915039062494,1.09085399724586,-1.62353515625E-07
-0.000100708007812506,1.10085399722061,-1.44775390625E-07
-9.1552734375E-05,1.11085399719536,-1.453857421875E-07
-0.000112915039062494,1.12085399717012,-1.5625E-07
-0.0001373291015625,1.13085399714487,-1.3214111328125E-07
-0.0001068115234375,1.14085399711962,-1.74072265625E-07
-0.0001068115234375,1.15085399709437,-1.385498046875E-07
-0.000149536132812503,1.16085399706913,-1.43402099609375E-07
-0.000100708007812506,1.17085399704388,-1.41815185546875E-07
-0.000131225585937506,1.18085399701863,-1.29425048828125E-07
-9.1552734375E-05,1.19085399699338,-1.57379150390625E-07
-9.46044921874972E-05,1.20085399696814,-1.3201904296875E-07
-0.000119018554687503,1.21085399694289,-1.5069580078125E-07
-0.000103759765625003,1.22085399691764,-1.56036376953125E-07
-0.000103759765625003,1.23085399689239,-1.31500244140625E-07
-0.000115966796875006,1.24085399686714,-1.56524658203125E-07
-0.000109863281249997,1.2508539968419,-1.23077392578125E-07
-0.0001220703125,1.26085399681665,-1.4312744140625E-07
-0.000115966796875006,1.2708539967914,-1.48468017578125E-07
-0.000112915039062494,1.28085399676615,-1.21002197265625E-07
-0.000131225585937506,1.29085399674091,-1.4923095703125E-07
-0.000103759765625003,1.30085399671566,-1.182861328125E-07
-0.0001373291015625,1.31085399669041,-1.4178466796875E-07
-0.000131225585937506,1.32085399666516,-1.35345458984375E-07
-0.000115966796875006,1.33085399663992,-1.17340087890625E-07
-0.000125122070312497,1.34085399661467,-1.502685546875E-07
-0.000115966796875006,1.35085399658942,-1.29730224609375E-07
-0.000125122070312497,1.36085399656417,-1.4874267578125E-07
-0.000112915039062494,1.37085399653893,-1.6192626953125E-07
-0.000134277343750003,1.38085399651368,-1.27838134765625E-07
-0.000128173828124994,1.39085399648843,-1.4801025390625E-07
-9.1552734375E-05,1.40085399646318,-1.28021240234375E-07
-0.0001068115234375,1.41085399643794,-1.33758544921875E-07
-0.000125122070312497,1.42085399641269,-1.47705078125E-07
-9.46044921874972E-05,1.43085399638744,-1.09130859375E-07
-0.000119018554687503,1.44085399636219,-1.5350341796875E-07
-6.103515625E-05,1.45085399633695,-1.30157470703125E-07
-0.000131225585937506,1.4608539963117,-1.37969970703125E-07
-0.000112915039062494,1.47085399628645,-1.4178466796875E-07
